param_value,n_nodes,run_id,tau
0.2,10,146,4777
0.2,10,147,6021
0.2,10,148,4439
0.2,10,149,3700
0.25,10,0,3639
0.25,10,1,3904
0.25,10,2,3870
0.25,10,3,3476
0.25,10,4,3815
0.25,10,5,3800
0.25,10,6,4290
0.25,10,7,3982
0.25,10,8,3104
0.25,10,9,3014
0.25,10,10,3699
0.25,10,11,3746
0.25,10,12,4603
0.25,10,13,4266
0.25,10,14,3629
0.25,10,15,3649
0.25,10,16,3771
0.25,10,17,4628
0.25,10,18,3054
0.25,10,19,3246
0.25,10,20,3644
0.25,10,21,4075
0.25,10,22,3789
0.25,10,23,3327
0.25,10,24,4397
0.25,10,25,4056
0.25,10,26,3745
0.25,10,27,3354
0.25,10,28,3644
0.25,10,29,3579
0.25,10,30,4415
0.25,10,31,3096
0.25,10,32,3361
0.25,10,33,3240
0.25,10,34,3873
0.25,10,35,3688
0.25,10,36,3030
0.25,10,37,3988
0.25,10,38,4246
0.25,10,39,3645
0.25,10,40,4119
0.25,10,41,4116
0.25,10,42,3717
0.25,10,43,3985
0.25,10,44,2995
0.25,10,45,3041
0.25,10,46,2907
0.25,10,47,4227
0.25,10,48,3525
0.25,10,49,4165
0.25,10,50,4387
0.25,10,51,4201
0.25,10,52,3764
0.25,10,53,3942
0.25,10,54,4212
0.25,10,55,3233
0.25,10,56,3651
0.25,10,57,3572
0.25,10,58,3413
0.25,10,59,3036
0.25,10,60,4035
0.25,10,61,3487
0.25,10,62,4609
0.25,10,63,3709
0.25,10,64,3829
0.25,10,65,3735
0.25,10,66,3020
0.25,10,67,4006
0.25,10,68,4397
0.25,10,69,3698
0.25,10,70,3091
0.25,10,71,2688
0.25,10,72,3684
0.25,10,73,3857
0.25,10,74,3892
0.25,10,75,2618
0.25,10,76,3332
0.25,10,77,3470
0.25,10,78,3913
0.25,10,79,3968
0.25,10,80,3350
0.25,10,81,4326
0.25,10,82,3989
0.25,10,83,2927
0.25,10,84,4518
0.25,10,85,4272
0.25,10,86,3815
0.25,10,87,3428
0.25,10,88,3711
0.25,10,89,3001
0.25,10,90,3475
0.25,10,91,4124
0.25,10,92,3596
0.25,10,93,3451
0.25,10,94,3879
0.25,10,95,2874
0.25,10,96,4462
0.25,10,97,3717
0.25,10,98,3230
0.25,10,99,4220
0.25,10,100,3678
0.25,10,101,4275
0.25,10,102,3215
0.25,10,103,4086
0.25,10,104,2555
0.25,10,105,3412
0.25,10,106,4102
0.25,10,107,3931
0.25,10,108,2866
0.25,10,109,3855
0.25,10,110,3501
0.25,10,111,3338
0.25,10,112,4081
0.25,10,113,4484
0.25,10,114,3943
0.25,10,115,3811
0.25,10,116,4146
0.25,10,117,3982
0.25,10,118,4149
0.25,10,119,4190
0.25,10,120,3734
0.25,10,121,3317
0.25,10,122,3794
0.25,10,123,4260
0.25,10,124,3740
0.25,10,125,3751
0.25,10,126,2726
0.25,10,127,3759
0.25,10,128,2913
0.25,10,129,4167
0.25,10,130,3864
0.25,10,131,4452
0.25,10,132,3896
0.25,10,133,3241
0.25,10,134,3485
0.25,10,135,3972
0.25,10,136,3074
0.25,10,137,3757
0.25,10,138,4249
0.25,10,139,3316
0.25,10,140,3983
0.25,10,141,4371
0.25,10,142,3320
0.25,10,143,3765
0.25,10,144,3885
0.25,10,145,2466
0.25,10,146,3782
0.25,10,147,4275
0.25,10,148,4144
0.25,10,149,3114
0.3,10,0,2974
0.3,10,1,3487
0.3,10,2,3343
0.3,10,3,3198
0.3,10,4,3230
0.3,10,5,3564
0.3,10,6,3689
0.3,10,7,3761
0.3,10,8,2797
0.3,10,9,3191
0.3,10,10,3526
0.3,10,11,3471
0.3,10,12,3309
0.3,10,13,3270
0.3,10,14,3226
0.3,10,15,3105
0.3,10,16,2895
0.3,10,17,3881
0.3,10,18,2814
0.3,10,19,3227
0.3,10,20,3139
0.3,10,21,3279
0.3,10,22,3487
0.3,10,23,3257
0.3,10,24,3609
0.3,10,25,3384
0.3,10,26,2894
0.3,10,27,3027
0.3,10,28,2861
0.3,10,29,3032
0.3,10,30,3734
0.3,10,31,2852
0.3,10,32,3272
0.3,10,33,3129
0.3,10,34,3567
0.3,10,35,3545
0.3,10,36,3300
0.3,10,37,2909
0.3,10,38,3502
0.3,10,39,3645
0.3,10,40,3483
0.3,10,41,4000
0.3,10,42,2302
0.3,10,43,3626
0.3,10,44,2648
0.3,10,45,2653
0.3,10,46,2676
0.3,10,47,2945
0.3,10,48,3393
0.3,10,49,3847
0.3,10,50,3725
0.3,10,51,3904
0.3,10,52,3246
0.3,10,53,3433
0.3,10,54,3625
0.3,10,55,3237
0.3,10,56,3170
0.3,10,57,3491
0.3,10,58,3071
0.3,10,59,2992
0.3,10,60,3335
0.3,10,61,3327
0.3,10,62,3430
0.3,10,63,2967
0.3,10,64,2944
0.3,10,65,3073
0.3,10,66,1972
0.3,10,67,3627
0.3,10,68,3837
0.3,10,69,3622
0.3,10,70,3122
0.3,10,71,2789
0.3,10,72,3239
0.3,10,73,3130
0.3,10,74,3851
0.3,10,75,2620
0.3,10,76,3336
0.3,10,77,3098
0.3,10,78,3574
