n_nodes,alpha,rebalance_active,run_id,tau,rebalances_done
20,0.2,True,13,26980,184
20,0.2,True,14,24710,52
20,0.2,True,15,26360,35
20,0.2,True,16,25951,102
20,0.2,True,17,28400,64
20,0.2,True,18,25910,45
20,0.2,True,19,27200,93
20,0.4,False,0,15519,0
20,0.4,False,1,13957,0
20,0.4,False,2,13434,0
20,0.4,False,3,15382,0
20,0.4,False,4,13971,0
20,0.4,False,5,15002,0
20,0.4,False,6,13417,0
20,0.4,False,7,16429,0
20,0.4,False,8,15133,0
20,0.4,False,9,15145,0
20,0.4,False,10,14357,0
20,0.4,False,11,15509,0
20,0.4,False,12,14867,0
20,0.4,False,13,14737,0
20,0.4,False,14,14147,0
20,0.4,False,15,13800,0
20,0.4,False,16,15539,0
20,0.4,False,17,15288,0
20,0.4,False,18,13494,0
20,0.4,False,19,14397,0
20,0.4,True,0,13490,24
20,0.4,True,1,12390,8
20,0.4,True,2,13750,94
20,0.4,True,3,12999,36
20,0.4,True,4,12810,25
20,0.4,True,5,13710,37
20,0.4,True,6,13010,57
20,0.4,True,7,13280,46
20,0.4,True,8,14160,182
20,0.4,True,9,13220,94
20,0.4,True,10,13010,28
20,0.4,True,11,13660,24
20,0.4,True,12,12980,8
20,0.4,True,13,13880,138
20,0.4,True,14,13382,62
20,0.4,True,15,13510,62
20,0.4,True,16,13100,45
20,0.4,True,17,12440,4
20,0.4,True,18,12770,13
20,0.4,True,19,13547,80
20,0.6,False,0,10130,0
20,0.6,False,1,10446,0
20,0.6,False,2,10863,0
20,0.6,False,3,9630,0
20,0.6,False,4,9147,0
20,0.6,False,5,9930,0
20,0.6,False,6,9895,0
20,0.6,False,7,10528,0
20,0.6,False,8,8980,0
20,0.6,False,9,9644,0
20,0.6,False,10,10217,0
20,0.6,False,11,10534,0
20,0.6,False,12,10109,0
20,0.6,False,13,10620,0
20,0.6,False,14,10460,0
20,0.6,False,15,9574,0
20,0.6,False,16,10184,0
20,0.6,False,17,9546,0
20,0.6,False,18,10258,0
20,0.6,False,19,10011,0
20,0.6,True,0,9660,313
20,0.6,True,1,8760,27
20,0.6,True,2,8940,32
20,0.6,True,3,9040,31
20,0.6,True,4,9040,150
20,0.6,True,5,8600,28
20,0.6,True,6,8580,6
20,0.6,True,7,9020,94
20,0.6,True,8,8770,47
20,0.6,True,9,9032,87
20,0.6,True,10,8993,28
20,0.6,True,11,8570,4
20,0.6,True,12,9341,174
20,0.6,True,13,9140,32
20,0.6,True,14,8770,17
20,0.6,True,15,8050,4
20,0.6,True,16,8720,37
20,0.6,True,17,9110,64
20,0.6,True,18,8830,56
20,0.6,True,19,8870,18
30,0.0,False,0,445091,0
30,0.0,False,1,469742,0
30,0.0,False,2,497608,0
30,0.0,False,3,262033,0
30,0.0,False,4,509914,0
30,0.0,False,5,357267,0
30,0.0,False,6,405515,0
30,0.0,False,7,449756,0
30,0.0,False,8,386688,0
